#{"t_start": 1733861681.073132, "env_id": "InvertedPendulum-v4"}
r,l,t
72.0,72,294.987368
68.0,68,296.815456
70.0,70,298.593659
77.0,77,300.693603
60.0,60,302.308661
63.0,63,303.939426
71.0,71,305.702184
67.0,67,307.374002
67.0,67,309.069942
56.0,56,310.488641
66.0,66,312.086992
68.0,68,313.709117
67.0,67,315.384837
65.0,65,317.262632
70.0,70,319.009912
87.0,87,321.187418
68.0,68,322.865435
84.0,84,324.979144
79.0,79,327.076405
95.0,95,329.410569
77.0,77,331.445474
79.0,79,333.563399
63.0,63,335.148362
91.0,91,337.422363
70.0,70,339.124895
67.0,67,340.808084
59.0,59,342.335402
67.0,67,343.931005
76.0,76,345.834432
59.0,59,347.480668
57.0,57,348.846245
62.0,62,350.372873
61.0,61,351.852273
64.0,64,353.374291
60.0,60,354.817739
65.0,65,356.430667
57.0,57,357.976922
63.0,63,359.596206
63.0,63,361.228585
77.0,77,363.073366
67.0,67,364.807261
63.0,63,366.761707
60.0,60,368.3271
58.0,58,369.871335
57.0,57,371.37207
64.0,64,373.076978
65.0,65,374.95069
65.0,65,376.649293
65.0,65,378.462978
63.0,63,380.128599
62.0,62,381.684589
63.0,63,383.173522
64.0,64,385.016012
63.0,63,386.603622
70.0,70,388.462791
65.0,65,390.436999
71.0,71,392.577276
72.0,72,394.665154
70.0,70,396.836163
76.0,76,398.849604
79.0,79,400.935172
68.0,68,402.643612
74.0,74,404.589998
79.0,79,406.699439
77.0,77,409.127291
71.0,71,411.571306
75.0,75,413.76357
84.0,84,416.393965
82.0,82,418.914126
78.0,78,421.314754
80.0,80,423.655465
86.0,86,426.096748
77.0,77,428.35989
82.0,82,431.047656
87.0,87,433.89971
86.0,86,436.399243
83.0,83,438.914742
79.0,79,441.336644
81.0,81,443.574577
85.0,85,445.949818
81.0,81,448.149001
88.0,88,450.604519
85.0,85,452.968493
91.0,91,455.564813
79.0,79,457.719778
95.0,95,460.471073
85.0,85,462.876359
90.0,90,465.516817
94.0,94,468.257777
90.0,90,470.892253
98.0,98,473.604918
92.0,92,476.311661
92.0,92,478.978015
99.0,99,481.807531
91.0,91,484.552358
93.0,93,487.360223
91.0,91,490.13006
100.0,100,493.031288
98.0,98,495.856632
113.0,113,499.228264
105.0,105,502.27659
107.0,107,505.464767
107.0,107,508.445966
118.0,118,511.523545
102.0,102,514.130252
108.0,108,517.144041
114.0,114,520.312525
99.0,99,522.911222
108.0,108,525.770664
109.0,109,529.172487
114.0,114,532.455537
108.0,108,535.460196
117.0,117,538.502286
128.0,128,541.640881
123.0,123,544.661791
111.0,111,547.363432
115.0,115,550.13942
130.0,130,553.460279
121.0,121,556.667187
130.0,130,560.031058
126.0,126,563.140497
127.0,127,566.790137
127.0,127,570.44048
125.0,125,574.082733
139.0,139,577.896494
128.0,128,581.234405
123.0,123,584.486811
127.0,127,587.813164
123.0,123,590.903216
134.0,134,594.330646
134.0,134,597.988214
140.0,140,601.713313
143.0,143,605.584748
159.0,159,609.624347
175.0,175,614.002528
171.0,171,618.25818
161.0,161,622.433903
153.0,153,626.273146
155.0,155,630.298441
178.0,178,634.703343
199.0,199,639.546175
199.0,199,644.401095
191.0,191,649.934006
230.0,230,656.618044
245.0,245,663.787809
241.0,241,670.840991
276.0,276,678.441563
286.0,286,687.264177
319.0,319,696.010335
349.0,349,705.336392
363.0,363,715.132977
479.0,479,727.634888
1000.0,1000,754.945368
1000.0,1000,780.485122
1000.0,1000,807.682635
1000.0,1000,835.984556
1000.0,1000,863.159099
907.0,907,886.718302
1000.0,1000,913.137933
1000.0,1000,940.459809
1000.0,1000,967.69492
1000.0,1000,999.044611
1000.0,1000,1024.813099
1000.0,1000,1051.964047
1000.0,1000,1086.520746
1000.0,1000,1113.176867
1000.0,1000,1138.006941
1000.0,1000,1162.494226
1000.0,1000,1186.723202
1000.0,1000,1212.685612
1000.0,1000,1240.316326
1000.0,1000,1278.013891
1000.0,1000,1306.06422
1000.0,1000,1332.015535
1000.0,1000,1358.284155
1000.0,1000,1387.520584
1000.0,1000,1416.351869
1000.0,1000,1442.193989
1000.0,1000,1468.780643
1000.0,1000,1495.231806
1000.0,1000,1523.871518
1000.0,1000,1554.407815
1000.0,1000,1585.006308
1000.0,1000,1611.357369
1000.0,1000,1645.184096
1000.0,1000,1681.810891
1000.0,1000,1708.803451
1000.0,1000,1735.035218
1000.0,1000,1760.513836
1000.0,1000,1786.050124
1000.0,1000,1837.236474
1000.0,1000,1870.046121
1000.0,1000,1898.061626
1000.0,1000,1925.239947
1000.0,1000,1954.795376
1000.0,1000,1989.065674
1000.0,1000,2020.742084
1000.0,1000,2050.105067
1000.0,1000,2085.046491
1000.0,1000,2116.627728
1000.0,1000,2142.713868
1000.0,1000,2168.576779
1000.0,1000,2197.110829
1000.0,1000,2224.471074
1000.0,1000,2252.824232
1000.0,1000,2282.121269
1000.0,1000,2308.598342
1000.0,1000,2337.564732
1000.0,1000,2367.940844
1000.0,1000,2398.523565
1000.0,1000,2425.11428
1000.0,1000,2453.701377
1000.0,1000,2490.036521
1000.0,1000,2524.389426
1000.0,1000,2556.7426
1000.0,1000,2591.304652
1000.0,1000,2625.178264
1000.0,1000,2658.03505
1000.0,1000,2690.759069
1000.0,1000,2720.051126
1000.0,1000,2754.404719
1000.0,1000,2783.15827
1000.0,1000,2809.658925
1000.0,1000,2836.895906
1000.0,1000,2865.932071
1000.0,1000,2893.833552
1000.0,1000,2921.578974
1000.0,1000,2948.564705
1000.0,1000,2975.779601
1000.0,1000,3001.553288
1000.0,1000,3028.401973
1000.0,1000,3056.074467
1000.0,1000,3083.982642
1000.0,1000,3114.176387
1000.0,1000,3143.228847
1000.0,1000,3169.663229
1000.0,1000,3202.105477
1000.0,1000,3223.071059
1000.0,1000,3247.450959
1000.0,1000,3269.420084
1000.0,1000,3295.162552
1000.0,1000,3317.598574
1000.0,1000,3347.978348
1000.0,1000,3372.613054
1000.0,1000,3391.728867
1000.0,1000,3414.635889
1000.0,1000,3435.183966
1000.0,1000,3456.860909
1000.0,1000,3477.437906
1000.0,1000,3497.202205
1000.0,1000,3519.682317
1000.0,1000,3543.40615
1000.0,1000,3567.22644
1000.0,1000,3588.437153
1000.0,1000,3606.763913
1000.0,1000,3625.836985
1000.0,1000,3644.753289
1000.0,1000,3667.037756
1000.0,1000,3692.711423
1000.0,1000,3719.458908
1000.0,1000,3746.744645
1000.0,1000,3769.552044
1000.0,1000,3796.786806
1000.0,1000,3823.329394
1000.0,1000,3846.267527
1000.0,1000,3873.762253
1000.0,1000,3892.871501
1000.0,1000,3910.557012
1000.0,1000,3928.214465
1000.0,1000,3947.62376
1000.0,1000,3965.162014
1000.0,1000,3989.66381
1000.0,1000,4008.633597
1000.0,1000,4027.989592
1000.0,1000,4049.137226
1000.0,1000,4071.793158
1000.0,1000,4091.039494
1000.0,1000,4111.16548
1000.0,1000,4131.557575
1000.0,1000,4151.658214
1000.0,1000,4171.739484
1000.0,1000,4190.130254
1000.0,1000,4207.541203
1000.0,1000,4225.066999
1000.0,1000,4242.347576
1000.0,1000,4259.959345
1000.0,1000,4277.252059
1000.0,1000,4294.54881
1000.0,1000,4311.767419
1000.0,1000,4329.266359
1000.0,1000,4346.720459
1000.0,1000,4364.04302
1000.0,1000,4381.568817
1000.0,1000,4398.748776
1000.0,1000,4421.290915
1000.0,1000,4441.801423
1000.0,1000,4458.836013
1000.0,1000,4475.869793
1000.0,1000,4492.791044
1000.0,1000,4509.744512
1000.0,1000,4526.974805
1000.0,1000,4543.821908
1000.0,1000,4561.120496
1000.0,1000,4578.297696
1000.0,1000,4595.509185
1000.0,1000,4612.61861
1000.0,1000,4629.631778
1000.0,1000,4646.634304
1000.0,1000,4663.624647
1000.0,1000,4681.78422
1000.0,1000,4717.135495
1000.0,1000,4745.295298
1000.0,1000,4770.172987
1000.0,1000,4791.561505
1000.0,1000,4814.306463
1000.0,1000,4831.949927
1000.0,1000,4850.40313
1000.0,1000,4868.677339
1000.0,1000,4887.752788
646.0,646,4901.414055
1000.0,1000,4918.659154
1000.0,1000,4936.174572
1000.0,1000,4953.754818
1000.0,1000,4970.805602
1000.0,1000,4987.998024
1000.0,1000,5005.236682
1000.0,1000,5022.317668
1000.0,1000,5039.48662
1000.0,1000,5057.014148
1000.0,1000,5074.162306
1000.0,1000,5091.449353
1000.0,1000,5108.475306
1000.0,1000,5125.886497
1000.0,1000,5142.990355
1000.0,1000,5160.455202
215.0,215,5164.131562
1000.0,1000,5181.484468
1000.0,1000,5198.671277
1000.0,1000,5215.761524
1000.0,1000,5232.800505
1000.0,1000,5250.051169
1000.0,1000,5267.06601
1000.0,1000,5284.423069
1000.0,1000,5301.649553
1000.0,1000,5318.800735
1000.0,1000,5335.820875
1000.0,1000,5352.907515
1000.0,1000,5370.303185
1000.0,1000,5394.709989
1000.0,1000,5419.689348
1000.0,1000,5441.007263
